Filename,Start,End,SDS,Query,Cost,Duration,Label
AG_Aalap2_Bag.csv,94.22,97.06,13,1,3.27,2.8400000000000034,Like
AG_Aalap2_Bag.csv,95.13,97.09,13,2,2.3,1.960000000000008,Like
AG_Aalap2_Bag.csv,95.14,95.83,13,3,0.54,0.6899999999999977,Like
AG_Aalap2_Bag.csv,95.12,96.08,13,4,1.01,0.9599999999999937,Like
AG_Aalap2_Bag.csv,97.35,98.19,13,5,2.46,0.8400000000000034,Like
AG_Aalap2_Bag.csv,111.05,112.26,14,0,1.16,1.210000000000008,Like
AG_Aalap2_Bag.csv,128.0,129.61,14,1,2.34,1.6100000000000136,Like
AG_Aalap2_Bag.csv,128.59,129.12,14,2,2.18,0.5300000000000011,Like
AG_Aalap2_Bag.csv,111.16,112.13,14,3,0.68,0.9699999999999989,Like
AG_Aalap2_Bag.csv,128.58,129.12,14,4,1.09,0.539999999999992,Like
AG_Aalap2_Bag.csv,128.6,129.12,14,5,1.95,0.5200000000000102,Like
AG_Aalap2_Bag.csv,156.84,157.61,17,0,1.2,0.7700000000000102,Like
AG_Aalap2_Bag.csv,162.61,164.07,17,1,2.89,1.4599999999999795,Like
AG_Aalap2_Bag.csv,162.79,164.17,17,2,1.84,1.3799999999999955,Like
AG_Aalap2_Bag.csv,162.8,163.63,17,3,1.48,0.8299999999999841,Like
AG_Aalap2_Bag.csv,166.0,166.52,17,4,0.98,0.5200000000000102,Like
AG_Aalap2_Bag.csv,156.89,157.47,17,5,2.48,0.5800000000000125,Like
AG_Aalap2_Bag.csv,174.77,175.68,18,0,1.8,0.9099999999999966,Like
AG_Aalap2_Bag.csv,174.09,175.71,18,1,3.05,1.6200000000000045,Like
AG_Aalap2_Bag.csv,174.78,175.86,18,2,3.83,1.0800000000000125,Like
AG_Aalap2_Bag.csv,174.79,175.58,18,3,1.95,0.7900000000000205,Like
AG_Aalap2_Bag.csv,174.78,175.52,18,4,2.92,0.7400000000000091,Like
AG_Aalap2_Bag.csv,174.12,175.48,18,5,2.7,1.3599999999999852,Like
AG_Aalap2_Bag.csv,174.77,175.68,19,0,1.8,0.9099999999999966,Like
AG_Aalap2_Bag.csv,174.09,175.71,19,1,3.05,1.6200000000000045,Like
AG_Aalap2_Bag.csv,174.78,175.86,19,2,3.83,1.0800000000000125,Like
AG_Aalap2_Bag.csv,174.79,175.58,19,3,1.95,0.7900000000000205,Like
AG_Aalap2_Bag.csv,174.78,175.52,19,4,2.92,0.7400000000000091,Like
AG_Aalap2_Bag.csv,174.12,175.48,19,5,2.7,1.3599999999999852,Like
AK_Aalap1_Bag.csv,19.1,19.81,1,1,16.77,0.7099999999999973,Like
AK_Aalap1_Bag.csv,19.24,19.81,1,2,14.84,0.5700000000000003,Like
AK_Aalap1_Bag.csv,19.12,19.81,1,4,14.78,0.6899999999999977,Like
AK_Aalap1_Bag.csv,33.67,34.56,4,0,22.39,0.8900000000000006,Unlike
AK_Aalap1_Bag.csv,33.67,34.56,4,2,21.18,0.8900000000000006,Unlike
AK_Aalap1_Bag.csv,33.67,34.56,4,4,19.96,0.8900000000000006,Unlike
AK_Aalap1_Bag.csv,34.56,36.78,4,5,23.71,2.219999999999999,Unlike
AK_Aalap1_Bag.csv,46.760000000000005,49.14,7,0,16.95,2.3799999999999955,Unlike
AK_Aalap1_Bag.csv,46.69,51.89,7,1,10.11,5.200000000000003,Unlike
AK_Aalap1_Bag.csv,46.69,51.89,7,2,8.33,5.200000000000003,Unlike
AK_Aalap1_Bag.csv,46.73,49.14,7,3,14.6,2.4100000000000037,Unlike
